( 340,  67) = a76483cf928c820edfffd716d67fdfd6
( 348,  67) = 0000435b0100e38bffffef0b0acaefff
(  19,  68) = 9e7dfebe97bc223db7171ff717000fff
(  34,  68) = fdbfa1e34007000340f0fdb0f4000000
( 205,  68) = 022883b1010027353eff0f0e1e9e191f
( 341,  69) = ae78fea6a7e4e22bf7f676f7fed09474
( 216,  70) = 020f528703af93efdaffff8787000000
( 198,  71) = f7f536f9627e1038e7f72ca7f704e77f
( 239,  72) = 1e3da2fdd73e017d9f171b5fbf030703
( 387,  72) = 9e7f0ac237ed80cf3706040000000404
( 184,  73) = 43c7a3a0842424055cdade5888889808
( 396,  73) = 0008ca7f4313efefffffff0f071b1d02
( 495,  73) = 0228973c8330833c1f9f9f1fff1f1fbf
( 157,  74) = abfd85b1bcbf11b0ddf91d00fb801335
( 324,  74) = 05572041008b20c38a9f1a0002fb0000
( 384,  74) = 7edf0481aff705ff2100000000010000
( 399,  74) = 000db37701042f6fefffffbfab0befff
( 422,  74) = 005720dbe5eca05f4bebef0b030b0b6b
( 497,  74) = 023886bcc33cc33f9f9f9fdf9f1f1fff
( 319,  75) = 004790cff5ed014f7fff1f7f0b080808
( 194,  76) = c022c189f1a9ef4fafefffd2fffffc80
( 354,  76) = 8e208a14cfb9c37dff949495ff979d95
(1255,  76) = 56ff024785ee04cf7f56560002001f00
( 198,  77) = 4355fdf74010f976c0e9f9ffa9b9ef99
( 231,  77) = 2100211a5018e61a2dbebcfc2ce8be3c
( 324,  77) = 086fce978306eb1bef0f03af0b09000b
( 345,  77) = 0b6fad7800003ba002bba36f770767ff
(1198,  77) = 803db2a7d33f11ff1f9f9f9f9f1f8397
( 294,  78) = 023dbbff033f357f9f9f070fdf07cf1f
( 350,  79) = 97b480fbbefe107480f75f879705dfd7
(  48,  80) = 0ae90141e5800f552818101a3a7a1008
( 200,  80) = 618a595e4000c28bc8fbff09ffebffff
( 508,  80) = 027c5b3ec33e833e9f1fe70f3f00afbf
(1275,  80) = 103833f30124721200ffffbeff7e2e3e
( 208,  81) = 7fa6a283b4af000032243822223f0020
( 319,  81) = fdd280f9b6fc04dc8000022222ffe222
( 135,  82) = 8830bfef65a0aa0f021afffffefffe06
( 194,  82) = 6a20e77ae724ee0aff76f7eefef6effe
( 177,  83) = e500f1c2b088e20267e6fc50e660f440
( 359,  83) = 0221fbff8371f37bdf9ff77f7f1f7fdf
(1272,  83) = 1134ffff0000e37ee7ffffbfefa6efff
( 203,  84) = 099c390c180439e0080109090f010b01
( 387,  84) = 6def004104c714c10008000000000000
( 193,  85) = 3580fdf8785077f02a293871212ffbfb
( 348,  85) = f20d6aa653ac400f90d9ffcdfd118911
( 226,  86) = e7fed3bfb0a812225377f3d7f7d6f6f6
( 210,  87) = 325d02c775e6844fa237e7000000ef00
( 387,  87) = afff00c716cf004f2b09030000010000
( 225,  88) = 02bedfb7e7b402027d7dfd1d3d551f9d
( 252,  88) = 1df392850881108800060401a3ff0000
